SESSIONID,USERID,REQUESTMONTH,REQUESTEDURL,lat,lon
1256862,1256862,4,h:989443,33.4483771,-112.0740373
1083959,1083959,4,h:5222,37.7749295,-122.4194155
1526739,1526739,4,h:169601,33.4222685,-111.8226402
1879953,1879953,4,h:4300,41.8781136,-87.6297982
1310412,1310412,4,h:9822,40.7878788,-74.0143064
1237288,1237288,4,h:9822,33.414768,-111.9093095
1262871,1262871,4,h:460787,33.34167,-111.98333
2143577,2143577,4,h:5446,40.9652581,-73.7181497
1162602,1162602,4,h:285671,33.4483771,-112.0740373
1295453,1295453,4,h:591438,33.4151843,-111.8314724
1683288,1683288,4,h:675,-22.9035393,-43.2095869
1480414,1480414,4,h:12004,32.9594891,-117.2653146
1294465,1294465,4,h:970898,32.2217429,-110.926479
1003659,1003659,4,h:72361,33.414768,-111.9093095
1124616,1124616,4,h:393973,33.3061605,-111.8412502
1214165,1214165,4,h:12004,39.7391536,-104.9847034
1256876,1256876,4,h:54326,33.4500425,-112.259321
1094757,1094757,4,h:11370,33.4483771,-112.0740373
2144345,2144345,4,h:584943,39.7391536,-104.9847034
1250769,1250769,4,h:212815,33.4483771,-112.0740373
1253635,1253635,4,h:444296,33.4483771,-112.0740373
1210224,1210224,4,h:601220,33.4483771,-112.0740373
1118742,1118742,12,h:6345,40.7498243,-73.7976337
1346022,1346022,4,h:429217,33.4483771,-112.0740373
1204652,1204652,4,h:103165,33.4483771,-112.0740373
1065764,1065764,4,h:135397,33.4941704,-111.9260519
1802887,1802887,4,h:34208,41.7658818,-83.6279921
1311483,1311483,4,h:62132,33.4483771,-112.0740373
1020837,1020837,4,h:734045,33.4483771,-112.0740373
1283589,1283589,4,h:789646,34.0522342,-118.2436849
1880897,1880897,4,h:277755,39.7391536,-104.9847034
2144833,2144833,4,h:20073,29.7628844,-95.3830615
1480414,1480414,4,h:5222,32.9594891,-117.2653146
2143527,2143527,4,h:38137,39.7683765,-86.1580423
1889732,1889732,4,h:610108,33.414768,-111.9093095
1243125,1243125,4,h:108936,35.5280783,-108.7425843
1058533,1058533,12,h:32799,36.3728538,-94.2088172
1127155,1127155,4,h:235795,40.740389,-73.983385
2046311,2046311,4,h:43942,33.414768,-111.9093095
2147999,2147999,4,h:1011459,33.8041667,-118.1580556
1244340,1244340,4,h:248813,47.6062095,-122.3320708
1297018,1297018,4,h:93851,33.4941704,-111.9260519
1005284,1005284,4,h:387968,42.5256502,-71.0953314
1075499,1075499,4,h:47021,38.8951118,-77.0363658
1700606,1700606,4,h:72361,33.4483771,-112.0740373
1255944,1255944,4,h:72361,41.6303103,-87.8539425
1283686,1283686,4,h:92494,33.4255104,-111.9400054
1104520,1104520,4,h:109670,33.4222685,-111.8226402
1115641,1115641,4,h:54363,32.981212,-117.078863
2046311,2046311,4,h:775910,33.414768,-111.9093095
1290414,1290414,4,h:5222,37.3541079,-121.9552356
1889732,1889732,4,h:190625,33.414768,-111.9093095
1026410,1026410,4,h:108937,33.414768,-111.9093095
2145459,2145459,4,h:3570,29.7628844,-95.3830615
1623654,1623654,4,h:18006,44.322418,-93.975304
1281401,1281401,4,h:119469,33.4483771,-112.0740373
1157466,1157466,4,h:5222,29.6196787,-95.6349463
1108592,1108592,4,h:315558,25.7889689,-80.2264393
1014140,1014140,4,h:11138,33.4483771,-112.0740373
1284546,1284546,4,h:88448,33.4483771,-112.0740373
1252229,1252229,4,h:430665,33.414768,-111.9093095
1186957,1186957,4,h:5222,37.3860517,-122.0838511
1013711,1013711,4,h:507498,33.4483771,-112.0740373
1000159,1000159,4,h:2297,35.1495343,-90.0489801
1129399,1129399,4,h:54709,33.414768,-111.9093095
1313292,1313292,4,h:54824,33.660297,-117.9992265
1576458,1576458,4,h:206914,35.6224561,-117.6708966
1030422,1030422,4,h:72361,43.5867164,-116.1956556
1222596,1222596,4,h:4084,40.7498243,-73.7976337
1275854,1275854,12,h:83007,41.8780025,-93.097702
1587539,1587539,4,h:244579,33.4941704,-111.9260519
1144034,1144034,4,h:7620,33.8883487,-118.3089624
1222819,1222819,4,h:60,38.8951118,-77.0363658
1177145,1177145,4,h:7620,33.9164032,-118.3525748
1214165,1214165,4,h:11138,39.7391536,-104.9847034
1022335,1022335,4,h:424191,40.715972,-74.001437
1307706,1307706,4,h:47159,34.0231553,-84.3615928
1382500,1382500,4,h:250535,40.7143528,-74.0059731
1705270,1705270,4,h:4432,38.8951118,-77.0363658
1313292,1313292,4,h:15991,33.660297,-117.9992265
1045792,1045792,12,h:15889,34.0050079,-118.8100893
2065609,2065609,4,h:584943,33.4483771,-112.0740373
1705270,1705270,4,h:4432,38.8951118,-77.0363658
1786568,1786568,4,h:11195,41.931696,-87.9889556
2143527,2143527,4,h:532433,39.7683765,-86.1580423
1622369,1622369,4,h:32679,26.0628664,-80.2331038
1346427,1346427,4,h:107670,37.7361933,-121.9466284
1508619,1508619,4,h:740595,34.0489281,-111.0937311
1161842,1161842,4,h:15682,39.0997265,-94.5785667
1133421,1133421,4,h:303239,42.9633599,-85.6680863
1263897,1263897,4,h:554403,33.4483771,-112.0740373
1346119,1346119,12,h:407,40.715972,-74.001437
1090989,1090989,4,h:54522,33.4483771,-112.0740373
1162532,1162532,4,h:591438,33.4483771,-112.0740373
1020837,1020837,4,h:54372,33.4483771,-112.0740373
1398630,1398630,4,h:72361,33.4483771,-112.0740373
2143508,2143508,4,h:4432,32.7153292,-117.1572551
1162532,1162532,4,h:18006,33.4483771,-112.0740373
1243125,1243125,4,h:54792,35.5280783,-108.7425843
1023209,1023209,12,h:122945,40.8570442,-74.0215285
1480414,1480414,4,h:60,32.9594891,-117.2653146
1004058,1004058,4,h:93850,33.4483771,-112.0740373
2143508,2143508,4,h:4432,32.7153292,-117.1572551
1093377,1093377,4,h:72361,33.4483771,-112.0740373
1072864,1072864,12,h:11138,37.226611,-121.9746797
1001208,1001208,4,h:108937,41.6501114,-70.2411312
1096906,1096906,4,h:18006,33.414768,-111.9093095
1853281,1853281,4,h:1104621,33.4483771,-112.0740373
2143546,2143546,4,h:229634,40.3042778,-73.9923596
1210079,1210079,4,h:932891,33.4483771,-112.0740373
2145752,2145752,4,h:54792,35.5280783,-108.7425843
1144293,1144293,4,h:677967,33.3061605,-111.8412502
2145529,2145529,4,h:601040,33.4941704,-111.9260519
1254194,1254194,4,h:190625,33.414768,-111.9093095
1053026,1053026,4,h:54363,33.4483771,-112.0740373
1072442,1072442,12,h:51712,30.3321838,-81.655651
1125195,1125195,4,h:54602,33.4483771,-112.0740373
1176657,1176657,4,h:42344,33.3061605,-111.8412502
1042500,1042500,4,h:7620,37.7749295,-122.4194155
1608363,1608363,4,h:137400,40.7834345,-73.9662495
1161842,1161842,4,h:207163,39.0997265,-94.5785667
1623654,1623654,4,h:10475,44.322418,-93.975304
1888184,1888184,4,h:152161,33.4483771,-112.0740373
1157471,1157471,4,h:243310,47.6062095,-122.3320708
1694054,1694054,4,h:51555,40.6096698,-111.9391031
1398630,1398630,4,h:54369,33.4483771,-112.0740373
1197240,1197240,4,h:169601,47.4537103,-122.3217908
1283265,1283265,4,h:314422,36.114646,-115.172816
1041898,1041898,4,h:54431,33.414768,-111.9093095
1048017,1048017,4,h:54431,32.2217429,-110.926479
1283686,1283686,4,h:54431,33.4255104,-111.9400054
1035912,1035912,4,h:4432,38.8462236,-77.3063733
1052325,1052325,4,h:6350,33.4941704,-111.9260519
1252403,1252403,4,h:154689,32.2217429,-110.926479
1868150,1868150,4,h:62528,39.7439139,-104.960118
1263518,1263518,4,h:168913,43.235883,-87.989257
1327334,1327334,4,h:11138,37.7749295,-122.4194155
1301350,1301350,12,h:69366,45.5001357,-122.4302013
1014129,1014129,4,h:54270,33.4941704,-111.9260519
1089007,1089007,4,h:4432,33.4483771,-112.0740373
1226379,1226379,4,h:103165,33.414768,-111.9093095
1252229,1252229,4,h:430665,33.414768,-111.9093095
1244708,1244708,4,h:244579,33.4941704,-111.9260519
1223701,1223701,4,h:5222,37.3393857,-121.8949555
1276887,1276887,4,h:4084,32.725409,-97.3208496
1199653,1199653,4,h:21948,27.949436,-82.4651441
1867978,1867978,4,h:5222,37.629349,-122.400087
1066275,1066275,4,h:235318,35.0844909,-106.6511367
1022335,1022335,4,h:632272,40.715972,-74.001437
1053752,1053752,4,h:154596,32.2217429,-110.926479
1123724,1123724,4,h:4700,47.6062095,-122.3320708
1234843,1234843,4,h:1078922,36.114646,-115.172816
1209436,1209436,4,h:677965,33.414768,-111.9093095
1572389,1572389,4,h:753167,39.7391536,-104.9847034
1111225,1111225,4,h:11492,40.7409348,-73.6626297
1001208,1001208,4,h:108937,41.6501114,-70.2411312
1173105,1173105,4,h:312810,37.798577,-122.4246535
1576458,1576458,4,h:4432,35.6224561,-117.6708966
1283265,1283265,4,h:107670,36.114646,-115.172816
1297036,1297036,4,h:54600,33.4255104,-111.9400054
1059753,1059753,4,h:54611,33.4483771,-112.0740373
1223296,1223296,4,h:228595,33.4483771,-112.0740373
1253646,1253646,4,h:803564,33.4941704,-111.9260519
1541149,1541149,4,h:92494,40.7143528,-74.0059731
1009252,1009252,4,h:54448,33.4483771,-112.0740373
1306059,1306059,4,h:11195,37.7749295,-122.4194155
1311688,1311688,4,h:176508,32.436381,-111.2224422
1205326,1205326,4,h:2297,43.0494572,-88.0075875
1159880,1159880,4,h:29488,28.5494447,-81.7728543
1854635,1854635,4,h:280373,39.0256651,-77.0763669
1854635,1854635,4,h:280373,39.0256651,-77.0763669
1222819,1222819,4,h:675,38.8951118,-77.0363658
1879953,1879953,4,h:242040,41.8781136,-87.6297982
2145752,2145752,4,h:190625,35.5280783,-108.7425843
1058682,1058682,4,h:7284,40.715972,-74.001437
1889732,1889732,4,h:543745,33.414768,-111.9093095
1824450,1824450,4,h:60,36.1988592,-115.1175013
1125198,1125198,4,h:119469,33.4941704,-111.9260519
1013310,1013310,4,h:280373,38.8942786,-77.4310992
1013310,1013310,4,h:280373,38.8942786,-77.4310992
1060724,1060724,4,h:9310,32.802955,-96.769923
1882988,1882988,4,h:228051,33.4483771,-112.0740373
1273831,1273831,4,h:397468,33.4941704,-111.9260519
1232385,1232385,4,h:2297,27.949436,-82.4651441
1731401,1731401,12,h:9310,38.6155556,-90.1277778
1121864,1121864,12,h:21646,40.715972,-74.001437
1291766,1291766,12,h:34538,25.673211,-100.309201
1346491,1346491,4,h:394046,33.4222685,-111.8226402
1026364,1026364,4,h:60,36.114646,-115.172816
1104632,1104632,4,h:3104,35.0832014,-80.8922957
1660045,1660045,4,h:32679,26.1223084,-80.1433786
1205326,1205326,4,h:603128,43.0494572,-88.0075875
1018006,1018006,4,h:23558,42.2287065,-71.5225638
1867978,1867978,4,h:15889,37.629349,-122.400087
1060724,1060724,4,h:9310,32.802955,-96.769923
1072442,1072442,12,h:157565,30.3321838,-81.655651
1013274,1013274,4,h:10936,40.740389,-73.983385
1148227,1148227,4,h:29488,28.5383355,-81.3792365
1002229,1002229,4,h:29488,28.5383355,-81.3792365
1161142,1161142,12,h:15889,29.9988312,-95.2621553
1005677,1005677,4,h:633606,34.0522342,-118.2436849
1257421,1257421,4,h:4202,30.267153,-97.7430608
1018143,1018143,4,h:9822,40.7658085,-73.8330844
1301184,1301184,4,h:2964,40.6639916,-74.2107006
1171351,1171351,4,h:7284,36.7682088,-76.2874927
1075499,1075499,4,h:47021,38.8951118,-77.0363658
1071364,1071364,4,h:11138,39.7294319,-104.8319195
1085881,1085881,4,h:4432,33.4483771,-112.0740373
1019381,1019381,4,h:86326,36.0331164,-86.7827772
1625458,1625458,4,h:104175,33.4941704,-111.9260519
1288473,1288473,4,h:886049,33.4483771,-112.0740373
2085711,2085711,4,h:4432,33.4483771,-112.0740373
1104632,1104632,4,h:38424,35.0832014,-80.8922957
1186133,1186133,4,h:4432,33.4483771,-112.0740373
1237056,1237056,4,h:4432,47.6062095,-122.3320708
1326476,1326476,4,h:4432,33.0581063,-112.0476423
1124614,1124614,4,h:54524,33.3061605,-111.8412502
1313309,1313309,4,h:119463,33.4255104,-111.9400054
1106726,1106726,12,h:9310,33.3703197,-112.5837766
1037551,1037551,4,h:67574,33.8352932,-117.9145036
1115641,1115641,4,h:151044,32.981212,-117.078863
1276887,1276887,4,h:7489,32.725409,-97.3208496
1113129,1113129,4,h:7489,40.0373914,-83.0005853
1176657,1176657,4,h:54550,33.3061605,-111.8412502
1283686,1283686,4,h:12949,33.4255104,-111.9400054
1303395,1303395,4,h:668341,33.3528264,-111.789027
1001245,1001245,4,h:21948,37.8043722,-122.2708026
1250682,1250682,4,h:3104,34.9248667,-81.0250784
1245234,1245234,4,h:2964,35.1495343,-90.0489801
1146888,1146888,4,h:93791,33.414768,-111.9093095
1096906,1096906,4,h:207186,33.414768,-111.9093095
1324668,1324668,4,h:29488,41.0017643,-73.6656834
1283686,1283686,4,h:207186,33.4255104,-111.9400054
1192065,1192065,4,h:190625,33.4483771,-112.0740373
1291766,1291766,12,h:782,25.673211,-100.309201
1020621,1020621,4,h:72361,33.4941704,-111.9260519
1092017,1092017,4,h:122387,33.4941704,-111.9260519
1005284,1005284,4,h:54602,42.5256502,-71.0953314
1872999,1872999,4,h:54602,33.4483771,-112.0740373
1281401,1281401,4,h:119469,33.4483771,-112.0740373
1097995,1097995,12,h:5222,37.3393857,-121.8949555
1060724,1060724,4,h:9310,32.802955,-96.769923
1001782,1001782,4,h:68691,29.7628844,-95.3830615
1193455,1193455,4,h:244413,33.3061605,-111.8412502
1026096,1026096,4,h:690507,33.4941704,-111.9260519
1251107,1251107,4,h:396509,33.3061605,-111.8412502
1361147,1361147,12,h:32679,26.1223084,-80.1433786
1005677,1005677,4,h:184105,34.0522342,-118.2436849
1572389,1572389,4,h:753167,39.7391536,-104.9847034
1116466,1116466,4,h:239318,33.5805955,-112.2373779
1126702,1126702,4,h:119462,33.414768,-111.9093095
1176657,1176657,4,h:54508,33.3061605,-111.8412502
1197182,1197182,4,h:119500,33.4941704,-111.9260519
1059844,1059844,4,h:60,51.5001524,-0.1262362
1068280,1068280,4,h:3104,39.8812236,-75.3237993
1644301,1644301,4,h:109056,33.4941704,-111.9260519
1183877,1183877,4,h:516185,33.3061605,-111.8412502
1040946,1040946,4,h:2964,40.715972,-74.001437
1326476,1326476,4,h:12004,33.0581063,-112.0476423
1004058,1004058,4,h:54338,33.4483771,-112.0740373
1048017,1048017,4,h:212815,32.2217429,-110.926479
1058533,1058533,4,h:9310,36.3728538,-94.2088172
1692149,1692149,4,h:4432,34.0522342,-118.2436849
1541646,1541646,4,h:11195,30.3321838,-81.655651
1102956,1102956,4,h:23558,40.740389,-73.983385
1162602,1162602,4,h:54785,33.4483771,-112.0740373
1083505,1083505,4,h:104174,33.3528264,-111.789027
1326476,1326476,4,h:4432,33.0581063,-112.0476423
1691709,1691709,4,h:190625,33.414768,-111.9093095
1327334,1327334,4,h:42321,37.7749295,-122.4194155
1690843,1690843,4,h:275494,33.4483771,-112.0740373
1152341,1152341,4,h:979412,32.981212,-117.078863
1189306,1189306,4,h:169601,33.414768,-111.9093095
1282680,1282680,4,h:137400,33.4255104,-111.9400054
1221263,1221263,4,h:119541,41.8781136,-87.6297982
1346513,1346513,4,h:9822,40.7143528,-74.0059731
1307252,1307252,4,h:241634,33.4151843,-111.8314724
1283686,1283686,4,h:12949,33.4255104,-111.9400054
1237056,1237056,4,h:299187,47.6062095,-122.3320708
1307027,1307027,4,h:43959,26.3586885,-80.0830984
1199653,1199653,4,h:7620,27.949436,-82.4651441
1263395,1263395,4,h:449700,33.4483771,-112.0740373
1058682,1058682,4,h:2964,40.715972,-74.001437
1256876,1256876,4,h:54379,33.4500425,-112.259321
1252229,1252229,4,h:62128,33.414768,-111.9093095
1103849,1103849,4,h:11138,30.267153,-97.7430608
1116152,1116152,4,h:23558,42.4800954,-71.0994976
1166817,1166817,4,h:5222,37.798577,-122.4246535
1151408,1151408,4,h:4432,33.7222445,-116.3744556
1089007,1089007,4,h:4432,33.4483771,-112.0740373
1151408,1151408,4,h:4432,33.7222445,-116.3744556
1283686,1283686,4,h:54765,33.4255104,-111.9400054
1009252,1009252,4,h:62132,33.4483771,-112.0740373
1013526,1013526,4,h:4432,38.646991,-90.224967
1001245,1001245,4,h:2297,37.8043722,-122.2708026
1296909,1296909,4,h:2297,45.487062,-122.8037102
1237288,1237288,4,h:54296,33.414768,-111.9093095
1256876,1256876,4,h:54416,33.4500425,-112.259321
1284546,1284546,4,h:54288,33.4483771,-112.0740373
1223296,1223296,4,h:65037,33.4483771,-112.0740373
1257409,1257409,4,h:22985,42.9636689,-78.7839218
1128968,1128968,4,h:23558,42.3764852,-71.2356113
1018006,1018006,4,h:23558,42.2287065,-71.5225638
1153085,1153085,12,h:9310,32.8969365,-97.0404947
1346950,1346950,4,h:46717,47.6062095,-122.3320708
1691709,1691709,4,h:207186,33.414768,-111.9093095
1054503,1054503,4,h:64,44.9799654,-93.2638361
1274004,1274004,4,h:21948,39.2903848,-76.6121893
1123521,1123521,4,h:64,40.372607,-74.5101536
1084141,1084141,4,h:7620,34.0522342,-118.2436849
1193732,1193732,12,h:36418,33.0369867,-117.2919818
1167398,1167398,4,h:209649,33.4483771,-112.0740373
1222596,1222596,4,h:4432,40.7498243,-73.7976337
1116963,1116963,4,h:686021,33.4483771,-112.0740373
1026096,1026096,4,h:705480,33.4941704,-111.9260519
1050113,1050113,12,h:5222,40.740389,-73.983385
1042500,1042500,4,h:7620,37.7749295,-122.4194155
1123197,1123197,4,h:60,28.5383355,-81.3792365
1264211,1264211,4,h:7284,36.1539816,-95.992775
1292686,1292686,4,h:96232,37.7749295,-122.4194155
1020837,1020837,4,h:112913,33.4483771,-112.0740373
1325947,1325947,4,h:10936,40.7282239,-73.7948516
1350496,1350496,4,h:28193,40.65,-73.95
1182376,1182376,4,h:60,39.952335,-75.163789
1700338,1700338,4,h:280373,38.8951118,-77.0363658
1044579,1044579,4,h:9751,28.0205733,-97.0544341
1238080,1238080,4,h:60,42.9633599,-85.6680863
1327820,1327820,4,h:239311,33.5805955,-112.2373779
1044579,1044579,4,h:9310,28.0205733,-97.0544341
1066218,1066218,4,h:64,43.0389025,-87.9064736
1860976,1860976,4,h:9822,33.6046074907945,-86.6376686096191
1872672,1872672,4,h:142566,28.5383355,-81.3792365
1127155,1127155,12,h:146036,40.740389,-73.983385
1324904,1324904,4,h:9822,28.5494447,-81.7728543
1034151,1034151,12,h:11138,40.4406248,-79.9958864
1683288,1683288,4,h:3570,-22.9035393,-43.2095869
1048619,1048619,4,h:466665,33.4483771,-112.0740373
1104584,1104584,4,h:34645,33.4222685,-111.8226402
1104632,1104632,4,h:3104,35.0832014,-80.8922957
1031611,1031611,4,h:3104,36.0726354,-79.7919754
1246817,1246817,4,h:29488,28.6419419,-81.123396
1104632,1104632,4,h:3104,35.0832014,-80.8922957
1031611,1031611,4,h:3104,36.0726354,-79.7919754
1168095,1168095,4,h:40395,33.5726113,-84.4132594
1872672,1872672,4,h:29488,28.5383355,-81.3792365
1089321,1089321,4,h:5222,37.4418834,-122.1430195
2143444,2143444,4,h:4432,33.7877944,-117.8531119
2143508,2143508,4,h:4432,32.7153292,-117.1572551
1867932,1867932,4,h:54463,33.3528264,-111.789027
1202654,1202654,4,h:4432,33.3061605,-111.8412502
1327820,1327820,4,h:141114,33.5805955,-112.2373779
1086136,1086136,4,h:7620,39.952335,-75.163789
1124614,1124614,4,h:1031600,33.3061605,-111.8412502
1306703,1306703,4,h:7489,43.0389025,-87.9064736
1089131,1089131,4,h:684720,33.449806,-112.3582136
1295729,1295729,4,h:15889,34.1206564,-84.0043513
2143577,2143577,4,h:4432,40.9652581,-73.7181497
1276887,1276887,4,h:9310,32.725409,-97.3208496
2010434,2010434,4,h:11138,37.5841026,-122.3660825
1322479,1322479,4,h:668343,33.3528264,-111.789027
1028341,1028341,4,h:573114,33.4483771,-112.0740373
1683288,1683288,4,h:107047,-22.9035393,-43.2095869
2143451,2143451,4,h:4432,33.7877944,-117.8531119
2010434,2010434,4,h:11138,37.5841026,-122.3660825
1067741,1067741,4,h:618434,33.4483771,-112.0740373
1058533,1058533,12,h:9310,36.3728538,-94.2088172
1207561,1207561,4,h:28304,41.8781136,-87.6297982
1262881,1262881,4,h:190625,43.16103,-77.6109219
1256186,1256186,4,h:11138,40.740389,-73.983385
1032720,1032720,4,h:9310,33.8722371,-117.8703363
1031540,1031540,4,h:3104,40.7143528,-74.0059731
1325198,1325198,4,h:116242,33.4941704,-111.9260519
1005284,1005284,4,h:34645,42.5256502,-71.0953314
2147172,2147172,4,h:314521,41.8781136,-87.6297982
1123914,1123914,4,h:11138,39.7391536,-104.9847034
1346850,1346850,4,h:46717,39.6417629,-77.7199932
1226379,1226379,4,h:15682,33.414768,-111.9093095
2046311,2046311,4,h:15682,33.414768,-111.9093095
1327523,1327523,4,h:119474,33.4151843,-111.8314724
1660045,1660045,4,h:9822,26.1223084,-80.1433786
1290164,1290164,4,h:10935,34.0522342,-118.2436849
1311688,1311688,4,h:54661,32.436381,-111.2224422
1026854,1026854,4,h:2297,33.6408367,-84.4456681
1295729,1295729,4,h:2297,34.1206564,-84.0043513
1102902,1102902,4,h:9822,45.5234515,-122.6762071
1065764,1065764,4,h:92496,33.4941704,-111.9260519
1004058,1004058,4,h:54338,33.4483771,-112.0740373
1300082,1300082,4,h:38424,39.0997265,-94.5785667
1135418,1135418,4,h:57100,34.0522342,-118.2436849
1163177,1163177,4,h:4432,36.7280583,-108.2186856
1146909,1146909,4,h:9373,40.7329606,-73.9884556
1280457,1280457,4,h:38424,39.0997265,-94.5785667
1214189,1214189,4,h:7620,37.629349,-122.400087
1009279,1009279,4,h:23558,40.65,-73.95
1274004,1274004,4,h:21948,39.2903848,-76.6121893
1328517,1328517,4,h:11195,42.2139873,-71.2244987
1306703,1306703,4,h:11195,43.0389025,-87.9064736
1144767,1144767,4,h:162356,40.0394982,-84.2032767
1111225,1111225,4,h:19766,40.7409348,-73.6626297
1163177,1163177,4,h:54550,36.7280583,-108.2186856
1236817,1236817,4,h:9310,32.725409,-97.3208496
1287911,1287911,4,h:32679,40.7282239,-73.7948516
1253646,1253646,4,h:54326,33.4941704,-111.9260519
1867932,1867932,4,h:54785,33.3528264,-111.789027
1083505,1083505,4,h:837388,33.3528264,-111.789027
2143577,2143577,4,h:107755,40.9652581,-73.7181497
1051321,1051321,4,h:3104,35.4087517,-80.579511
1065991,1065991,4,h:214758,33.5386523,-112.1859866
1281401,1281401,4,h:119469,33.4483771,-112.0740373
1160395,1160395,4,h:41735,34.20003,-118.4914337
1207561,1207561,4,h:62528,41.8781136,-87.6297982
1031524,1031524,4,h:62528,40.740389,-73.983385
1064981,1064981,4,h:2964,29.7628844,-95.3830615
1176658,1176658,4,h:375577,33.3061605,-111.8412502
1329171,1329171,4,h:68691,29.7601927,-95.3693896
1297037,1297037,4,h:6399,33.4483771,-112.0740373
1055257,1055257,4,h:190625,33.4483771,-112.0740373
