[INFO ] 2018-05-22 11:37:57,758 -- WorkingPath: /Users/igorsantana/Projects/v2-tcc-pesquisa/datasets/CARSKit.Workspace/
[INFO ] 2018-05-22 11:37:57,770 -- Your original rating data path: /Users/igorsantana/Projects/v2-tcc-pesquisa/datasets/reduzido.csv
[INFO ] 2018-05-22 11:37:57,771 -- Current working path: /Users/igorsantana/Projects/v2-tcc-pesquisa/datasets/CARSKit.Workspace/
[WARN ] 2018-05-22 11:37:57,775 -- You rating data is in Compact format. CARSKit is working on transformation on the data format...
[INFO ] 2018-05-22 11:37:58,066 -- Data transformaton completed (from Compact to Binary format). See new rating file: /Users/igorsantana/Projects/v2-tcc-pesquisa/datasets/CARSKit.Workspace/ratings_binary.txt
[INFO ] 2018-05-22 11:37:58,090 -- Dataset: ...ARSKit.Workspace/ratings_binary.txt
[INFO ] 2018-05-22 11:37:58,093 -- DataPath: /Users/igorsantana/Projects/v2-tcc-pesquisa/datasets/CARSKit.Workspace/ratings_binary.txt
[INFO ] 2018-05-22 11:37:58,619 -- Rating data set has been successfully loaded.
[INFO ] 2018-05-22 11:37:58,628 -- 
/***************************************************************************************************
 *
 * Dataset: /Users/igorsantana/Projects/v2-tcc-pesquisa/datasets/CARSKit.Workspace/ratings_binary.txt
 * 
 * Statistics of U-I-C Matrix:
 * User amount: 548
 * Item amount: 549
 * Rate amount: 607
 * Context dimensions: 2 (latitude, longitude)
 * Context conditions: 1096 (latitude: 548, longitude: 548)
 * Context situations: 547
 * Data density: 0.00000067185363493266%
 * Scale distribution: [2.0 x 61, 4.0 x 194, 1.0 x 33, 5.0 x 180, 3.0 x 139]
 * Average value of all ratings: 3.703460
 * Standard deviation of all ratings: 1.152765
 * Mode of all rating values: 4.000000
 * Median of all rating values: 4.000000
 *
 ***************************************************************************************************/
[INFO ] 2018-05-22 11:37:58,631 -- With Setup: cv -k 10 -p on --rand-seed 1 --test-view all
[DEBUG] 2018-05-22 11:37:58,640 -- Fold [1]: training amount: 546, test amount: 61
[DEBUG] 2018-05-22 11:37:58,647 -- Fold [2]: training amount: 546, test amount: 61
[DEBUG] 2018-05-22 11:37:58,662 -- Fold [3]: training amount: 546, test amount: 61
[DEBUG] 2018-05-22 11:37:58,679 -- Fold [4]: training amount: 547, test amount: 60
[DEBUG] 2018-05-22 11:37:58,699 -- Fold [5]: training amount: 546, test amount: 61
[DEBUG] 2018-05-22 11:37:58,728 -- Fold [6]: training amount: 546, test amount: 61
[DEBUG] 2018-05-22 11:37:58,756 -- Fold [7]: training amount: 547, test amount: 60
[DEBUG] 2018-05-22 11:37:58,840 -- Fold [8]: training amount: 546, test amount: 61
[DEBUG] 2018-05-22 11:37:58,847 -- Fold [9]: training amount: 546, test amount: 61
[DEBUG] 2018-05-22 11:37:58,850 -- Fold [10]: training amount: 547, test amount: 60
[DEBUG] 2018-05-22 11:38:01,289 -- BPR fold [1] iter 4: loss = 25093.05, delta_loss = 3257.5713, learn_rate = 0.002205
[DEBUG] 2018-05-22 11:38:01,309 -- BPR fold [7] iter 4: loss = 25133.928, delta_loss = 3304.7832, learn_rate = 0.002205
[DEBUG] 2018-05-22 11:38:01,441 -- BPR fold [8] iter 5: loss = 22262.047, delta_loss = 2717.1123, learn_rate = 0.0023152502
[DEBUG] 2018-05-22 11:38:01,458 -- BPR fold [4] iter 5: loss = 22728.828, delta_loss = 2759.0413, learn_rate = 0.0023152502
[DEBUG] 2018-05-22 11:38:01,460 -- BPR fold [6] iter 5: loss = 22449.06, delta_loss = 2939.43, learn_rate = 0.0023152502
[DEBUG] 2018-05-22 11:38:01,479 -- BPR fold [2] iter 5: loss = 22335.385, delta_loss = 2777.295, learn_rate = 0.0023152502
[DEBUG] 2018-05-22 11:38:01,484 -- BPR fold [3] iter 5: loss = 22387.764, delta_loss = 2940.9663, learn_rate = 0.0023152502
[DEBUG] 2018-05-22 11:38:01,488 -- BPR fold [9] iter 5: loss = 21895.197, delta_loss = 2836.3713, learn_rate = 0.0023152502
[DEBUG] 2018-05-22 11:38:01,491 -- BPR fold [7] iter 5: loss = 22312.908, delta_loss = 2821.02, learn_rate = 0.0023152502
[DEBUG] 2018-05-22 11:38:01,490 -- BPR fold [1] iter 5: loss = 22302.486, delta_loss = 2790.5635, learn_rate = 0.0023152502
[DEBUG] 2018-05-22 11:38:01,511 -- BPR fold [10] iter 5: loss = 21946.258, delta_loss = 2786.8271, learn_rate = 0.0023152502
[DEBUG] 2018-05-22 11:38:01,519 -- BPR fold [5] iter 5: loss = 22141.373, delta_loss = 2874.7554, learn_rate = 0.0023152502
[DEBUG] 2018-05-22 11:38:01,662 -- BPR fold [8] iter 6: loss = 19792.426, delta_loss = 2469.6194, learn_rate = 0.0024310127
[DEBUG] 2018-05-22 11:38:01,681 -- BPR fold [6] iter 6: loss = 19964.314, delta_loss = 2484.7446, learn_rate = 0.0024310127
[DEBUG] 2018-05-22 11:38:01,682 -- BPR fold [4] iter 6: loss = 20056.969, delta_loss = 2671.8599, learn_rate = 0.0024310127
[DEBUG] 2018-05-22 11:38:01,691 -- BPR fold [3] iter 6: loss = 19841.633, delta_loss = 2546.1304, learn_rate = 0.0024310127
[DEBUG] 2018-05-22 11:38:01,694 -- BPR fold [1] iter 6: loss = 19735.076, delta_loss = 2567.4111, learn_rate = 0.0024310127
[DEBUG] 2018-05-22 11:38:01,704 -- BPR fold [2] iter 6: loss = 19848.285, delta_loss = 2487.0999, learn_rate = 0.0024310127
[DEBUG] 2018-05-22 11:38:01,705 -- BPR fold [5] iter 6: loss = 19753.012, delta_loss = 2388.3613, learn_rate = 0.0024310127
[DEBUG] 2018-05-22 11:38:01,716 -- BPR fold [7] iter 6: loss = 19816.215, delta_loss = 2496.6921, learn_rate = 0.0024310127
[DEBUG] 2018-05-22 11:38:01,724 -- BPR fold [9] iter 6: loss = 19352.09, delta_loss = 2543.1077, learn_rate = 0.0024310127
[DEBUG] 2018-05-22 11:38:01,739 -- BPR fold [10] iter 6: loss = 19593.844, delta_loss = 2352.4128, learn_rate = 0.0024310127
[DEBUG] 2018-05-22 11:38:01,861 -- BPR fold [8] iter 7: loss = 17539.076, delta_loss = 2253.3496, learn_rate = 0.0025525633
[DEBUG] 2018-05-22 11:38:01,888 -- BPR fold [1] iter 7: loss = 17638.37, delta_loss = 2096.706, learn_rate = 0.0025525633
[DEBUG] 2018-05-22 11:38:01,908 -- BPR fold [2] iter 7: loss = 17514.814, delta_loss = 2333.471, learn_rate = 0.0025525633
[DEBUG] 2018-05-22 11:38:01,893 -- BPR fold [4] iter 7: loss = 17875.184, delta_loss = 2181.785, learn_rate = 0.0025525633
[DEBUG] 2018-05-22 11:38:01,914 -- BPR fold [7] iter 7: loss = 17550.75, delta_loss = 2265.4656, learn_rate = 0.0025525633
[DEBUG] 2018-05-22 11:38:01,905 -- BPR fold [3] iter 7: loss = 17755.82, delta_loss = 2085.8132, learn_rate = 0.0025525633
[DEBUG] 2018-05-22 11:38:01,895 -- BPR fold [6] iter 7: loss = 17641.623, delta_loss = 2322.6912, learn_rate = 0.0025525633
[DEBUG] 2018-05-22 11:38:01,929 -- BPR fold [9] iter 7: loss = 17206.227, delta_loss = 2145.8623, learn_rate = 0.0025525633
[DEBUG] 2018-05-22 11:38:01,939 -- BPR fold [5] iter 7: loss = 17462.723, delta_loss = 2290.2896, learn_rate = 0.0025525633
[DEBUG] 2018-05-22 11:38:01,956 -- BPR fold [10] iter 7: loss = 17308.432, delta_loss = 2285.4128, learn_rate = 0.0025525633
[DEBUG] 2018-05-22 11:38:02,072 -- BPR fold [8] iter 8: loss = 15552.744, delta_loss = 1986.333, learn_rate = 0.0026801913
[DEBUG] 2018-05-22 11:38:02,091 -- BPR fold [6] iter 8: loss = 15706.036, delta_loss = 1935.5874, learn_rate = 0.0026801913
[DEBUG] 2018-05-22 11:38:02,095 -- BPR fold [2] iter 8: loss = 15598.1875, delta_loss = 1916.6266, learn_rate = 0.0026801913
[DEBUG] 2018-05-22 11:38:02,098 -- BPR fold [4] iter 8: loss = 15797.002, delta_loss = 2078.1812, learn_rate = 0.0026801913
[DEBUG] 2018-05-22 11:38:02,101 -- BPR fold [1] iter 8: loss = 15542.093, delta_loss = 2096.2766, learn_rate = 0.0026801913
[DEBUG] 2018-05-22 11:38:02,106 -- BPR fold [3] iter 8: loss = 15701.377, delta_loss = 2054.4421, learn_rate = 0.0026801913
[DEBUG] 2018-05-22 11:38:02,118 -- BPR fold [9] iter 8: loss = 15244.292, delta_loss = 1961.9357, learn_rate = 0.0026801913
[DEBUG] 2018-05-22 11:38:02,111 -- BPR fold [5] iter 8: loss = 15552.661, delta_loss = 1910.061, learn_rate = 0.0026801913
[DEBUG] 2018-05-22 11:38:02,134 -- BPR fold [7] iter 8: loss = 15521.084, delta_loss = 2029.6652, learn_rate = 0.0026801913
[DEBUG] 2018-05-22 11:38:02,157 -- BPR fold [10] iter 8: loss = 15279.087, delta_loss = 2029.3448, learn_rate = 0.0026801913
[DEBUG] 2018-05-22 11:38:02,348 -- BPR fold [8] iter 9: loss = 13873.31, delta_loss = 1679.4343, learn_rate = 0.002814201
[DEBUG] 2018-05-22 11:38:02,363 -- BPR fold [4] iter 9: loss = 13981.608, delta_loss = 1815.3942, learn_rate = 0.002814201
[DEBUG] 2018-05-22 11:38:02,365 -- BPR fold [6] iter 9: loss = 13875.801, delta_loss = 1830.2357, learn_rate = 0.002814201
[DEBUG] 2018-05-22 11:38:02,392 -- BPR fold [2] iter 9: loss = 13789.307, delta_loss = 1808.8809, learn_rate = 0.002814201
[DEBUG] 2018-05-22 11:38:02,412 -- BPR fold [9] iter 9: loss = 13393.767, delta_loss = 1850.5251, learn_rate = 0.002814201
[DEBUG] 2018-05-22 11:38:02,458 -- BPR fold [3] iter 9: loss = 13786.87, delta_loss = 1914.5071, learn_rate = 0.002814201
[DEBUG] 2018-05-22 11:38:02,472 -- BPR fold [1] iter 9: loss = 13774.258, delta_loss = 1767.835, learn_rate = 0.002814201
[DEBUG] 2018-05-22 11:38:02,487 -- BPR fold [10] iter 9: loss = 13602.366, delta_loss = 1676.7211, learn_rate = 0.002814201
[DEBUG] 2018-05-22 11:38:02,472 -- BPR fold [7] iter 9: loss = 13829.826, delta_loss = 1691.2587, learn_rate = 0.002814201
[DEBUG] 2018-05-22 11:38:02,512 -- BPR fold [5] iter 9: loss = 13761.906, delta_loss = 1790.7551, learn_rate = 0.002814201
[DEBUG] 2018-05-22 11:38:02,634 -- BPR fold [4] iter 10: loss = 12347.777, delta_loss = 1633.8304, learn_rate = 0.002954911
[DEBUG] 2018-05-22 11:38:02,648 -- BPR fold [8] iter 10: loss = 12184.125, delta_loss = 1689.1843, learn_rate = 0.002954911
[DEBUG] 2018-05-22 11:38:02,711 -- BPR fold [6] iter 10: loss = 12268.559, delta_loss = 1607.2423, learn_rate = 0.002954911
[DEBUG] 2018-05-22 11:38:02,732 -- BPR fold [2] iter 10: loss = 12199.162, delta_loss = 1590.1448, learn_rate = 0.002954911
[DEBUG] 2018-05-22 11:38:02,755 -- BPR fold [9] iter 10: loss = 11885.368, delta_loss = 1508.3983, learn_rate = 0.002954911
[DEBUG] 2018-05-22 11:38:02,776 -- BPR fold [3] iter 10: loss = 12208.347, delta_loss = 1578.5238, learn_rate = 0.002954911
[DEBUG] 2018-05-22 11:38:02,783 -- BPR fold [1] iter 10: loss = 12188.416, delta_loss = 1585.8419, learn_rate = 0.002954911
[DEBUG] 2018-05-22 11:38:02,796 -- BPR fold [7] iter 10: loss = 12217.944, delta_loss = 1611.8818, learn_rate = 0.002954911
[DEBUG] 2018-05-22 11:38:02,828 -- BPR fold [5] iter 10: loss = 12085.255, delta_loss = 1676.6516, learn_rate = 0.002954911
[DEBUG] 2018-05-22 11:38:02,836 -- BPR fold [10] iter 10: loss = 12013.249, delta_loss = 1589.1166, learn_rate = 0.002954911
[DEBUG] 2018-05-22 11:38:02,904 -- BPR fold [8] iter 11: loss = 10800.603, delta_loss = 1383.5226, learn_rate = 0.0031026567
[DEBUG] 2018-05-22 11:38:02,989 -- BPR fold [4] iter 11: loss = 10937.44, delta_loss = 1410.3376, learn_rate = 0.0031026567
[DEBUG] 2018-05-22 11:38:02,998 -- BPR fold [6] iter 11: loss = 10817.348, delta_loss = 1451.2108, learn_rate = 0.0031026567
[DEBUG] 2018-05-22 11:38:03,025 -- BPR fold [3] iter 11: loss = 10789.838, delta_loss = 1418.5088, learn_rate = 0.0031026567
[DEBUG] 2018-05-22 11:38:03,049 -- BPR fold [1] iter 11: loss = 10692.983, delta_loss = 1495.4333, learn_rate = 0.0031026567
[DEBUG] 2018-05-22 11:38:03,049 -- BPR fold [7] iter 11: loss = 10755.324, delta_loss = 1462.6194, learn_rate = 0.0031026567
[DEBUG] 2018-05-22 11:38:03,081 -- BPR fold [2] iter 11: loss = 10763.986, delta_loss = 1435.1757, learn_rate = 0.0031026567
[DEBUG] 2018-05-22 11:38:03,092 -- BPR fold [9] iter 11: loss = 10453.157, delta_loss = 1432.2107, learn_rate = 0.0031026567
[DEBUG] 2018-05-22 11:38:03,106 -- BPR fold [5] iter 11: loss = 10729.393, delta_loss = 1355.8619, learn_rate = 0.0031026567
[DEBUG] 2018-05-22 11:38:03,141 -- BPR fold [10] iter 11: loss = 10620.058, delta_loss = 1393.1915, learn_rate = 0.0031026567
[DEBUG] 2018-05-22 11:38:03,200 -- BPR fold [8] iter 12: loss = 9525.991, delta_loss = 1274.6112, learn_rate = 0.0032577894
[DEBUG] 2018-05-22 11:38:03,234 -- BPR fold [6] iter 12: loss = 9574.29, delta_loss = 1243.0574, learn_rate = 0.0032577894
[DEBUG] 2018-05-22 11:38:03,241 -- BPR fold [4] iter 12: loss = 9612.164, delta_loss = 1325.2761, learn_rate = 0.0032577894
[DEBUG] 2018-05-22 11:38:03,259 -- BPR fold [2] iter 12: loss = 9535.284, delta_loss = 1228.7023, learn_rate = 0.0032577894
[DEBUG] 2018-05-22 11:38:03,263 -- BPR fold [3] iter 12: loss = 9483.771, delta_loss = 1306.0662, learn_rate = 0.0032577894
[DEBUG] 2018-05-22 11:38:03,279 -- BPR fold [1] iter 12: loss = 9537.143, delta_loss = 1155.8403, learn_rate = 0.0032577894
[DEBUG] 2018-05-22 11:38:03,305 -- BPR fold [7] iter 12: loss = 9521.203, delta_loss = 1234.1217, learn_rate = 0.0032577894
[DEBUG] 2018-05-22 11:38:03,307 -- BPR fold [5] iter 12: loss = 9517.267, delta_loss = 1212.126, learn_rate = 0.0032577894
[DEBUG] 2018-05-22 11:38:03,314 -- BPR fold [9] iter 12: loss = 9282.768, delta_loss = 1170.3898, learn_rate = 0.0032577894
[DEBUG] 2018-05-22 11:38:03,354 -- BPR fold [10] iter 12: loss = 9382.745, delta_loss = 1237.3127, learn_rate = 0.0032577894
[DEBUG] 2018-05-22 11:38:03,402 -- BPR fold [8] iter 13: loss = 8521.457, delta_loss = 1004.5348, learn_rate = 0.003420679
[DEBUG] 2018-05-22 11:38:03,457 -- BPR fold [4] iter 13: loss = 8533.883, delta_loss = 1078.2815, learn_rate = 0.003420679
[DEBUG] 2018-05-22 11:38:03,477 -- BPR fold [3] iter 13: loss = 8342.959, delta_loss = 1140.8129, learn_rate = 0.003420679
[DEBUG] 2018-05-22 11:38:03,477 -- BPR fold [6] iter 13: loss = 8436.249, delta_loss = 1138.041, learn_rate = 0.003420679
[DEBUG] 2018-05-22 11:38:03,504 -- BPR fold [2] iter 13: loss = 8381.33, delta_loss = 1153.9543, learn_rate = 0.003420679
[DEBUG] 2018-05-22 11:38:03,513 -- BPR fold [5] iter 13: loss = 8382.05, delta_loss = 1135.2173, learn_rate = 0.003420679
[DEBUG] 2018-05-22 11:38:03,515 -- BPR fold [1] iter 13: loss = 8390.599, delta_loss = 1146.5441, learn_rate = 0.003420679
[DEBUG] 2018-05-22 11:38:03,526 -- BPR fold [9] iter 13: loss = 8206.465, delta_loss = 1076.3026, learn_rate = 0.003420679
[DEBUG] 2018-05-22 11:38:03,527 -- BPR fold [7] iter 13: loss = 8430.045, delta_loss = 1091.1582, learn_rate = 0.003420679
[DEBUG] 2018-05-22 11:38:03,578 -- BPR fold [10] iter 13: loss = 8351.193, delta_loss = 1031.5514, learn_rate = 0.003420679
[DEBUG] 2018-05-22 11:38:03,631 -- BPR fold [8] iter 14: loss = 7528.086, delta_loss = 993.3705, learn_rate = 0.0035917128
[DEBUG] 2018-05-22 11:38:03,693 -- BPR fold [9] iter 14: loss = 7303.471, delta_loss = 902.9941, learn_rate = 0.0035917128
[DEBUG] 2018-05-22 11:38:03,715 -- BPR fold [4] iter 14: loss = 7566.976, delta_loss = 966.9066, learn_rate = 0.0035917128
[DEBUG] 2018-05-22 11:38:03,724 -- BPR fold [6] iter 14: loss = 7524.335, delta_loss = 911.91406, learn_rate = 0.0035917128
[DEBUG] 2018-05-22 11:38:03,734 -- BPR fold [3] iter 14: loss = 7436.005, delta_loss = 906.95386, learn_rate = 0.0035917128
[DEBUG] 2018-05-22 11:38:03,740 -- BPR fold [2] iter 14: loss = 7474.809, delta_loss = 906.5206, learn_rate = 0.0035917128
[DEBUG] 2018-05-22 11:38:03,747 -- BPR fold [1] iter 14: loss = 7505.5684, delta_loss = 885.0302, learn_rate = 0.0035917128
[DEBUG] 2018-05-22 11:38:03,769 -- BPR fold [7] iter 14: loss = 7442.179, delta_loss = 987.8656, learn_rate = 0.0035917128
[DEBUG] 2018-05-22 11:38:03,786 -- BPR fold [5] iter 14: loss = 7419.161, delta_loss = 962.8885, learn_rate = 0.0035917128
[DEBUG] 2018-05-22 11:38:03,865 -- BPR fold [8] iter 15: loss = 6657.987, delta_loss = 870.0994, learn_rate = 0.0037712986
[DEBUG] 2018-05-22 11:38:03,880 -- BPR fold [10] iter 14: loss = 7399.6426, delta_loss = 951.55096, learn_rate = 0.0035917128
[DEBUG] 2018-05-22 11:38:03,931 -- BPR fold [6] iter 15: loss = 6647.405, delta_loss = 876.9302, learn_rate = 0.0037712986
[DEBUG] 2018-05-22 11:38:03,938 -- BPR fold [2] iter 15: loss = 6573.182, delta_loss = 901.62665, learn_rate = 0.0037712986
[DEBUG] 2018-05-22 11:38:03,938 -- BPR fold [3] iter 15: loss = 6597.882, delta_loss = 838.1228, learn_rate = 0.0037712986
[DEBUG] 2018-05-22 11:38:03,945 -- BPR fold [9] iter 15: loss = 6485.811, delta_loss = 817.66, learn_rate = 0.0037712986
[DEBUG] 2018-05-22 11:38:03,956 -- BPR fold [1] iter 15: loss = 6662.277, delta_loss = 843.2918, learn_rate = 0.0037712986
[DEBUG] 2018-05-22 11:38:03,971 -- BPR fold [4] iter 15: loss = 6765.133, delta_loss = 801.8431, learn_rate = 0.0037712986
[DEBUG] 2018-05-22 11:38:03,980 -- BPR fold [7] iter 15: loss = 6623.1846, delta_loss = 818.99457, learn_rate = 0.0037712986
[DEBUG] 2018-05-22 11:38:04,009 -- BPR fold [5] iter 15: loss = 6631.364, delta_loss = 787.7971, learn_rate = 0.0037712986
[DEBUG] 2018-05-22 11:38:04,083 -- BPR fold [10] iter 15: loss = 6604.451, delta_loss = 795.19135, learn_rate = 0.0037712986
[DEBUG] 2018-05-22 11:38:04,101 -- BPR fold [8] iter 16: loss = 5976.4443, delta_loss = 681.54224, learn_rate = 0.0039598634
[DEBUG] 2018-05-22 11:38:04,138 -- BPR fold [6] iter 16: loss = 5935.039, delta_loss = 712.3657, learn_rate = 0.0039598634
